video_id,comment_text,sarcasm,hate_speech,misinformation,emotion,code_switch_tags
BljaIOvFkcM,Yeh kasmir say panga lay rahay waha to aurtain b in say Zada jurat mand hai,no,offensive,na,anger,Yeh/urdu kasmir/urdu say/urdu panga/urdu lay/urdu rahay/urdu waha/urdu to/urdu aurtain/urdu b/urdu in/urdu say/urdu Zada/urdu jurat/urdu mand/urdu hai/urdu
UiYpRBQ74fs,Khoti KY bachoun ko koi fark ni par Raha qatloun KY sar pr trump ka jota ha ici vja SE kutty kaat rahy han kashmrioun ko,no,hate,na,anger,Khoti/urdu KY/urdu bachoun/urdu ko/urdu koi/urdu fark/urdu ni/urdu par/urdu Raha/urdu qatloun/urdu KY/urdu sar/urdu pr/urdu trump/urdu ka/urdu jota/urdu ha/urdu ici/urdu vja/urdu SE/urdu kutty/urdu kaat/urdu rahy/urdu han/urdu kashmrioun/urdu ko/urdu
IMnXqYDHhZI,Asy log ghreeb logo ma khwaish pyda krty han jo in js life ni guzar skty or dua kry asy log jahnam ma sb sy alay tarjay py hon ameen,no,offensive,na,anger|sadness,Asy/urdu log/urdu ghreeb/urdu logo/urdu ma/urdu khwaish/urdu pyda/urdu krty/urdu han/urdu jo/urdu in/urdu js/urdu life/urdu ni/urdu guzar/urdu skty/urdu or/urdu dua/urdu kry/urdu asy/urdu log/urdu jahnam/urdu ma/urdu sb/urdu sy/urdu alay/urdu tarjay/urdu py/urdu hon/urdu ameen/urdu
UiYpRBQ74fs,Ye Julm Keb Tek Hota Rahega. Allah Pak Ki Giraft Bohat Jeld Aeagi Or Jalumo Ko Chupneki Jaga Nahi Melegi Insha'Allah.,no,none,na,sadness,Ye/urdu Julm/urdu Keb/urdu Tek/urdu Hota/urdu Rahega./urdu Allah/urdu Pak/urdu Ki/urdu Giraft/urdu Bohat/urdu Jeld/urdu Aeagi/urdu Or/urdu Jalumo/urdu Ko/urdu Chupneki/urdu Jaga/urdu Nahi/urdu Melegi/urdu Insha'Allah./urdu
EyrNOfyxSBQ,mujhe samjh nhi arhi ya log itna appreciate q kar rahy hai mujhe to is film Mai koi b khas cheez nazar nhi aya waste of time,no,none,na,anger|none,mujhe/urdu samjh/urdu nhi/urdu arhi/urdu ya/urdu log/urdu itna/urdu appreciate/urdu q/urdu kar/urdu rahy/urdu hai/urdu mujhe/urdu to/urdu is/urdu film/urdu Mai/urdu koi/urdu b/urdu khas/urdu cheez/urdu nazar/urdu nhi/urdu aya/urdu waste/urdu of/urdu time/urdu
nqbNLe84dpM,Jo bhi tha but Areeb bhai ko paani ni dia kisi ne be,no,none,na,sadness,Jo/urdu bhi/urdu tha/urdu but/urdu Areeb/urdu bhai/urdu ko/urdu paani/urdu ni/urdu dia/urdu kisi/urdu ne/urdu be/urdu
BmpRnfu16YA,Fatima API mare bhi Nikal gai ha,yes,none,na,none,Fatima/urdu API/urdu mare/urdu bhi/urdu Nikal/urdu gai/urdu ha/urdu
EyrNOfyxSBQ,I love Zoya ki acting mujha bohat achi lagi I love it 😊,no,none,na,joy,I/urdu love/urdu Zoya/urdu ki/urdu acting/urdu mujha/urdu bohat/urdu achi/urdu lagi/urdu I/english love/english it/english 😊/urdu
BaMLBWWvNHA,kamaaaaaaaaaal zulqur bhai.....dil khush kr dya bhattttii ki be izzati kr ke😂🤣🥰,yes,none,na,joy,kamaaaaaaaaaal/urdu zulqur/urdu bhai.....dil/urdu khush/urdu kr/urdu dya/urdu bhattttii/urdu ki/urdu be/urdu izzati/urdu kr/urdu ke😂🤣🥰/urdu
BljaIOvFkcM,"Yeh ju dehshat gardi hai 
Ais ke peechay Wardi hai",yes,offensive,na,none,Yeh/urdu ju/urdu dehshat/urdu gardi/urdu hai/urdu Ais/urdu ke/urdu peechay/urdu Wardi/urdu hai/urdu
BaMLBWWvNHA,Rajab bhai tujhe bhai mn ta tha gaddar🤬🤬,no,offensive,na,anger,Rajab/urdu bhai/urdu tujhe/urdu bhai/urdu mn/urdu ta/urdu tha/urdu gaddar🤬🤬/urdu
gvG35CxYOLg,Rice ka Sath milk Kon pita ha 😅,no,none,na,surprise,Rice/urdu ka/urdu Sath/urdu milk/urdu Kon/urdu pita/urdu ha/urdu 😅/urdu
nqbNLe84dpM,😊😊😊😊kya hu ha ap bhai ko,no,none,na,surprise,😊😊😊😊kya/urdu hu/urdu ha/urdu ap/urdu bhai/urdu ko/urdu
VUKai4CZSNw,Ducky bhi Mera bhi b Japan ha Tokyo may 😊,no,none,na,none,Ducky/urdu bhi/urdu Mera/urdu bhi/urdu b/urdu Japan/urdu ha/urdu Tokyo/urdu may/urdu 😊/urdu
zXAAAXogJ78,Mamo ki baat nai tu mujhe bhi rola diya 😢😢😢😢,no,none,na,sadness,Mamo/urdu ki/urdu baat/urdu nai/urdu tu/urdu mujhe/urdu bhi/urdu rola/urdu diya/urdu 😢😢😢😢/urdu
IMnXqYDHhZI,ab tm rajab pr ducky ki trha dekhwa kr k apna ap zalel krwa ri h,no,none,na,sadness|surprise|none,ab/urdu tm/urdu rajab/urdu pr/urdu ducky/urdu ki/urdu trha/urdu dekhwa/urdu kr/urdu k/urdu apna/urdu ap/urdu zalel/urdu krwa/urdu ri/urdu h/urdu
HeZ2VBdJeOk,"bare sharam ki baat hai k
KSA aur UAE sood ka kaam
kertey hain yani khul ker Allah
aur Uskey Rasool SAW se
khuli jang ker rahe hain.Astaghfirullah",no,offensive,na,sadness|fear,bare/urdu sharam/urdu ki/urdu baat/urdu hai/urdu k/urdu KSA/urdu aur/urdu UAE/urdu sood/urdu ka/urdu kaam/urdu kertey/urdu hain/urdu yani/urdu khul/urdu ker/urdu Allah/urdu aur/urdu Uskey/urdu Rasool/urdu SAW/urdu se/urdu khuli/urdu jang/urdu ker/urdu rahe/urdu hain.Astaghfirullah/urdu
FH8OUP2_sN4,I love you ducky Bhai,no,none,na,joy,I/english love/english you/english ducky/urdu Bhai/urdu
BaMLBWWvNHA,Proud of you bhai💕,no,none,na,joy,Proud/english of/english you/english bhai💕/urdu
eY0i4nBXqdY,Imran Fatima Mera bhi naam hai😊😊😊😊,no,none,na,joy|surprise,Imran/urdu Fatima/urdu Mera/urdu bhi/urdu naam/urdu hai😊😊😊😊/urdu
nqbNLe84dpM,Iqra api plzzzz muja apni snapchat id ka name bta da plzzzzz 🙏🙏😭😭🥺🥺,no,none,na,none,Iqra/urdu api/urdu plzzzz/urdu muja/urdu apni/urdu snapchat/urdu id/urdu ka/urdu name/urdu bta/urdu da/urdu plzzzzz/urdu 🙏🙏😭😭🥺🥺/urdu
VUKai4CZSNw,Bhai please visit Doraemon village in Japan....?,no,none,na,none,Bhai/urdu please/english visit/english Doraemon/english village/english in/english Japan....?/english
UiYpRBQ74fs,Foji koi b mara to wo shaheed ni wo kute ki mot mara us ko shaid ni kho,no,hate,na,anger,Foji/urdu koi/urdu b/urdu mara/urdu to/urdu wo/urdu shaheed/urdu ni/urdu wo/urdu kute/urdu ki/urdu mot/urdu mara/urdu us/urdu ko/urdu shaid/urdu ni/urdu kho/urdu
BaMLBWWvNHA,Ktini tameez k Sath rajab ko bezar Kiya hai😂🤌🏻yeh hoti h ik achi maa ki tabiyat,yes,offensive,na,joy,Ktini/urdu tameez/urdu k/urdu Sath/urdu rajab/urdu ko/urdu bezar/urdu Kiya/urdu hai😂🤌🏻yeh/urdu hoti/urdu h/urdu ik/urdu achi/urdu maa/urdu ki/urdu tabiyat/urdu
VUKai4CZSNw,Ducky mara bacha tu patlo ko rost na karr,yes,none,na,none,Ducky/urdu mara/urdu bacha/urdu tu/urdu patlo/urdu ko/urdu rost/urdu na/urdu karr/urdu
IMnXqYDHhZI,Inlogo ko tiktok ki haram kamai par sharam nhe ati ulta un halal kamaney waley logo ki bewiyu ko b ye chezein dikha dikha kar husband ko haram kmai  par majbor kr rhe he.lanat ho inlogo par,yes,offensive,na,anger,Inlogo/urdu ko/urdu tiktok/urdu ki/urdu haram/urdu kamai/urdu par/urdu sharam/urdu nhe/urdu ati/urdu ulta/urdu un/urdu halal/urdu kamaney/urdu waley/urdu logo/urdu ki/urdu bewiyu/urdu ko/urdu b/urdu ye/urdu chezein/urdu dikha/urdu dikha/urdu kar/urdu husband/urdu ko/urdu haram/urdu kmai/urdu par/urdu majbor/urdu kr/urdu rhe/urdu he.lanat/urdu ho/urdu inlogo/urdu par/urdu
gvG35CxYOLg,u alikum i am ur biggest fan from pk i want to earn a money from internet i need a money i do my baclor now a days can u suggest me u now internet batter than me plzzz shahveer bhai I want to become a indepandance girl help i try a lot of jobs but all are fakes thats why i am here i belive it u suggest me a real job,no,none,na,none,u/urdu alikum/urdu i/english am/english ur/english biggest/english fan/english from/english pk/english i/english want/english to/english earn/english a/english money/english from/english internet/english i/english need/english a/english money/english i/english do/english my/english baclor/english now/english a/english days/english can/english u/english suggest/english me/english u/english now/english internet/english batter/english than/english me/english plzzz/english shahveer/english bhai/english I/english want/english to/english become/english a/english indepandance/english girl/english help/english i/english try/english a/english lot/english of/english jobs/english but/english all/english are/english fakes/english thats/english why/english i/english am/english here/english i/english belive/english it/english u/english suggest/english me/english a/english real/english job/english
BljaIOvFkcM,Yeh generals hi real ghaddar hai. Jo ain ko nai mantay.,no,hate,na,sadness|anger,Yeh/urdu generals/urdu hi/urdu real/urdu ghaddar/urdu hai./urdu Jo/urdu ain/urdu ko/urdu nai/urdu mantay./urdu
BaMLBWWvNHA,33:12 yar koi us dost ka Naam batado plz,no,none,na,none,33:12/urdu yar/urdu koi/urdu us/urdu dost/urdu ka/urdu Naam/urdu batado/urdu plz/urdu
gvG35CxYOLg,Happy to see Ali Bhai n pk in this video ....old Canadian wolfcrew,no,none,na,none,Happy/english to/english see/english Ali/english Bhai/english n/english pk/english in/english this/english video/english ....old/english Canadian/english wolfcrew/english
BljaIOvFkcM,Nice information sir ALLAH ap ko lambi umer de Ameen,no,none,na,joy,Nice/urdu information/urdu sir/urdu ALLAH/urdu ap/urdu ko/urdu lambi/urdu umer/urdu de/urdu Ameen/urdu
BmpRnfu16YA,Laken lud pana ki bei ko had hti ha,no,none,na,sadness,Laken/urdu lud/urdu pana/urdu ki/urdu bei/urdu ko/urdu had/urdu hti/urdu ha/urdu
4k0ZV0UFZSw,Is qoom ma gharat nahi ha imran bai,no,offensive,na,anger,Is/urdu qoom/urdu ma/urdu gharat/urdu nahi/urdu ha/urdu imran/urdu bai/urdu
EyrNOfyxSBQ,Kis na ya 3 : 33 wala clip tiktok par dekha😂,no,none,na,joy,Kis/urdu na/urdu ya/urdu 3/urdu :/urdu 33/urdu wala/urdu clip/urdu tiktok/urdu par/urdu dekha😂/urdu
EyrNOfyxSBQ,Agar ap Apne real papa ko af Karti to Sahi tha😊,yes,offensive,na,none,Agar/urdu ap/urdu Apne/urdu real/urdu papa/urdu ko/urdu af/urdu Karti/urdu to/urdu Sahi/urdu tha😊/urdu
XHQrr9fmTkc,Fatima APK yellow chijon ka challenge yellow 💛💛❤😂🎉😢😮😮😅😊😂😂😂,no,none,na,none,Fatima/urdu APK/urdu yellow/urdu chijon/urdu ka/urdu challenge/urdu yellow/urdu 💛💛❤😂🎉😢😮😮😅😊😂😂😂/urdu
eY0i4nBXqdY,Umrah mehram k Sath hoti hai,no,none,na,none,Umrah/urdu mehram/urdu k/urdu Sath/urdu hoti/urdu hai/urdu
hhFGhAo4ZfY,Sahi nhi mar rha hath pr mar rha hai hath piche bhi chala jata hai to udr bhi mar deta hai table pr nhi marta,no,none,na,none,Sahi/urdu nhi/urdu mar/urdu rha/urdu hath/urdu pr/urdu mar/urdu rha/urdu hai/urdu hath/urdu piche/urdu bhi/urdu chala/urdu jata/urdu hai/urdu to/urdu udr/urdu bhi/urdu mar/urdu deta/urdu hai/urdu table/urdu pr/urdu nhi/urdu marta/urdu
BmpRnfu16YA,Mashallah Allah pak Nazry bat se bachay ameen,no,none,na,joy,Mashallah/urdu Allah/urdu pak/urdu Nazry/urdu bat/urdu se/urdu bachay/urdu ameen/urdu
WJxfQWiP9DQ,Allha aap ko seht o tandursti atta kare hands of to you,no,none,na,joy,Allha/urdu aap/urdu ko/urdu seht/urdu o/urdu tandursti/urdu atta/urdu kare/urdu hands/urdu of/urdu to/urdu you/urdu
HeZ2VBdJeOk,Imran bhai ap ke naam ka aik oar channel start kia gia hai. Jo ke fake lagta hai. Please es baray mai wazahat dain ta keh log dhoka na kain,no,none,na,surprise,Imran/urdu bhai/urdu ap/urdu ke/urdu naam/urdu ka/urdu aik/urdu oar/urdu channel/urdu start/urdu kia/urdu gia/urdu hai./urdu Jo/urdu ke/urdu fake/urdu lagta/urdu hai./urdu Please/urdu es/urdu baray/urdu mai/urdu wazahat/urdu dain/urdu ta/urdu keh/urdu log/urdu dhoka/urdu na/urdu kain/urdu
BljaIOvFkcM,"Altaf Hussain b Gaddar
Jab k Altaf Hussain b In ko Be Naqab karta tha",no,offensive,na,anger|sadness,Altaf/urdu Hussain/urdu b/urdu Gaddar/urdu Jab/urdu k/urdu Altaf/urdu Hussain/urdu b/urdu In/urdu ko/urdu Be/urdu Naqab/urdu karta/urdu tha/urdu
HeZ2VBdJeOk,Wa alaikum as salam wa rehmat ullah e wa barakatuhu Imran Riaz Bhai g sahib,no,none,na,none,Wa/urdu alaikum/urdu as/urdu salam/urdu wa/urdu rehmat/urdu ullah/urdu e/urdu wa/urdu barakatuhu/urdu Imran/urdu Riaz/urdu Bhai/urdu g/urdu sahib/urdu
WJxfQWiP9DQ,Sir g asim ne pop corn k paise nhe chore humain roti mil jaye wohi buhat😊,yes,offensive,na,anger|sadness,Sir/urdu g/urdu asim/urdu ne/urdu pop/urdu corn/urdu k/urdu paise/urdu nhe/urdu chore/urdu humain/urdu roti/urdu mil/urdu jaye/urdu wohi/urdu buhat😊/urdu
Erif7Vj9NSQ,Aap bhi apni dance ki picture send Karen please aage piche nahin karti main aapke bhi log dekhti hun main aapko follow bhi Karti hun like bhi Karti hun,no,none,na,none,Aap/urdu bhi/urdu apni/urdu dance/urdu ki/urdu picture/urdu send/urdu Karen/urdu please/urdu aage/urdu piche/urdu nahin/urdu karti/urdu main/urdu aapke/urdu bhi/urdu log/urdu dekhti/urdu hun/urdu main/urdu aapko/urdu follow/urdu bhi/urdu Karti/urdu hun/urdu like/urdu bhi/urdu Karti/urdu hun/urdu
hhFGhAo4ZfY,Waqas bahi rizak to na zaya Kya kary video my Allah nraz ho jata h,no,none,na,sadness|fear,Waqas/urdu bahi/urdu rizak/urdu to/urdu na/urdu zaya/urdu Kya/urdu kary/urdu video/urdu my/urdu Allah/urdu nraz/urdu ho/urdu jata/urdu h/urdu
BaMLBWWvNHA,Kutta tu Rajab da bara baat nhi krni 🤚🖕,no,offensive,na,anger,Kutta/urdu tu/urdu Rajab/urdu da/urdu bara/urdu baat/urdu nhi/urdu krni/urdu 🤚🖕/urdu
FH8OUP2_sN4,Meme men amazon prime ka logo a raha h @duckybhai remove kr den aisa na ho k copyright a jaye,no,none,na,none,Meme/urdu men/urdu amazon/urdu prime/urdu ka/urdu logo/urdu a/urdu raha/urdu h/urdu @duckybhai/urdu remove/urdu kr/urdu den/urdu aisa/urdu na/urdu ho/urdu k/urdu copyright/urdu a/urdu jaye/urdu
nqbNLe84dpM,Iqra api ap ki look bohat pyari hai,no,none,na,joy,Iqra/urdu api/urdu ap/urdu ki/urdu look/urdu bohat/urdu pyari/urdu hai/urdu
4k0ZV0UFZSw,Chalo chalo adiala chalo inqlab wahid hal hai bus,no,none,na,joy,Chalo/urdu chalo/urdu adiala/urdu chalo/urdu inqlab/urdu wahid/urdu hal/urdu hai/urdu bus/urdu
eY0i4nBXqdY,Api hum ne bi Al bake khaya tha Jeddah ka famous khana ❤,no,none,na,joy,Api/urdu hum/urdu ne/urdu bi/urdu Al/urdu bake/urdu khaya/urdu tha/urdu Jeddah/urdu ka/urdu famous/urdu khana/urdu ❤/urdu
WJxfQWiP9DQ,"Saari red lines cross ho gai hain, abb Quaid e Azam kay qatal sey lay kay abb taq kay har zulm ka hisaab awaam ley gi iss establishment kay paltu idaray aur iskay order man’nay wala hr shaqs sey badla ley gi awaam Inn Sha Allah. Insey bara gad’daar Pakistan mein paida nahi howa aur abb awaam inki naslon ko bhi nahi baqshay gi.",no,offensive,na,anger|sadness,"Saari/urdu red/urdu lines/urdu cross/urdu ho/urdu gai/urdu hain,/urdu abb/urdu Quaid/urdu e/urdu Azam/urdu kay/urdu qatal/urdu sey/urdu lay/urdu kay/urdu abb/urdu taq/urdu kay/urdu har/urdu zulm/urdu ka/urdu hisaab/urdu awaam/urdu ley/urdu gi/urdu iss/urdu establishment/urdu kay/urdu paltu/urdu idaray/urdu aur/urdu iskay/urdu order/urdu man’nay/urdu wala/urdu hr/urdu shaqs/urdu sey/urdu badla/urdu ley/urdu gi/urdu awaam/urdu Inn/urdu Sha/urdu Allah./urdu Insey/urdu bara/urdu gad’daar/urdu Pakistan/urdu mein/urdu paida/urdu nahi/urdu howa/urdu aur/urdu abb/urdu awaam/urdu inki/urdu naslon/urdu ko/urdu bhi/urdu nahi/urdu baqshay/urdu gi./urdu"
eY0i4nBXqdY,Har baat chhod ke aapke kapde bade pyare lag rahe,no,none,na,joy,Har/urdu baat/urdu chhod/urdu ke/urdu aapke/urdu kapde/urdu bade/urdu pyare/urdu lag/urdu rahe/urdu
ttL6k7wzGmQ,"Sami abraham sb. Vidual clips k sath zabardast critic, informative and comprehensive Vlog 💯👌👍ALLAH aapki hifazat farmaye, aameen 💯😇",no,none,na,joy,"Sami/urdu abraham/urdu sb./urdu Vidual/urdu clips/urdu k/urdu sath/urdu zabardast/urdu critic,/urdu informative/urdu and/urdu comprehensive/urdu Vlog/urdu 💯👌👍ALLAH/urdu aapki/urdu hifazat/urdu farmaye,/urdu aameen/urdu 💯😇/urdu"
N-0DINjOMlY,Ma ap ki Big fan hun andleeb from gilgit ⛰️,no,none,na,none,Ma/urdu ap/urdu ki/urdu Big/urdu fan/urdu hun/urdu andleeb/urdu from/urdu gilgit/urdu ⛰️/urdu
XHQrr9fmTkc,Q nhi deti reply ap,no,none,na,sadness,Q/urdu nhi/urdu deti/urdu reply/urdu ap/urdu
FH8OUP2_sN4,Lucky bhai ki on a video kab banaoge comedy video Mera bhi sawal ek le lena hai ki on a video,no,none,na,none,Lucky/urdu bhai/urdu ki/urdu on/urdu a/urdu video/urdu kab/urdu banaoge/urdu comedy/urdu video/urdu Mera/urdu bhi/urdu sawal/urdu ek/urdu le/urdu lena/urdu hai/urdu ki/urdu on/urdu a/urdu video/urdu
eY0i4nBXqdY,Main to aapki fan hun aap apna number Bata sakti hain Taki main aapse baat kar sakun,no,none,na,none,Main/urdu to/urdu aapki/urdu fan/urdu hun/urdu aap/urdu apna/urdu number/urdu Bata/urdu sakti/urdu hain/urdu Taki/urdu main/urdu aapse/urdu baat/urdu kar/urdu sakun/urdu
zXAAAXogJ78,Mera hass ka bura hal hu Raha ha  amazing 🎉 Maza a gia😅,yes,none,na,joy,Mera/urdu hass/urdu ka/urdu bura/urdu hal/urdu hu/urdu Raha/urdu ha/urdu amazing/urdu 🎉/urdu Maza/urdu a/urdu gia😅/urdu
4k0ZV0UFZSw,"Noqsan molk ka kar tu rahy hn apni zid mn ,wo bhe ghalati par ghalti",no,offensive,na,anger|sadness,"Noqsan/urdu molk/urdu ka/urdu kar/urdu tu/urdu rahy/urdu hn/urdu apni/urdu zid/urdu mn/urdu ,wo/urdu bhe/urdu ghalati/urdu par/urdu ghalti/urdu"
EyrNOfyxSBQ,Is se achi acting hamary ghar Kay bachy kar lete han.khawab❌ behayai✅. Hira ki sasti acting ne film ka satiya nass kar diya.kindly change the parents in this film.😏. Ghairat❌ Beghairat✅.,no,hate,na,anger|sadness,Is/urdu se/urdu achi/urdu acting/urdu hamary/urdu ghar/urdu Kay/urdu bachy/urdu kar/urdu lete/urdu han.khawab❌/urdu behayai✅./urdu Hira/urdu ki/urdu sasti/urdu acting/urdu ne/urdu film/urdu ka/urdu satiya/urdu nass/urdu kar/urdu diya.kindly/urdu change/urdu the/urdu parents/urdu in/urdu this/urdu film.😏./urdu Ghairat❌/urdu Beghairat✅./urdu
EyrNOfyxSBQ,Btw Islam hamain ye ni kehta ha Islam ne aurat ko pardy ka hukam dia ha 😢,no,none,na,none,Btw/urdu Islam/urdu hamain/urdu ye/urdu ni/urdu kehta/urdu ha/urdu Islam/urdu ne/urdu aurat/urdu ko/urdu pardy/urdu ka/urdu hukam/urdu dia/urdu ha/urdu 😢/urdu
XHQrr9fmTkc,fatima appi apki behen zainab ko  boyfriend ka itna shoq he to kardien phir uski shadi are yar mazzak karrahee hon sirios mat hona,yes,offensive,na,none,fatima/urdu appi/urdu apki/urdu behen/urdu zainab/urdu ko/urdu boyfriend/urdu ka/urdu itna/urdu shoq/urdu he/urdu to/urdu kardien/urdu phir/urdu uski/urdu shadi/urdu are/urdu yar/urdu mazzak/urdu karrahee/urdu hon/urdu sirios/urdu mat/urdu hona/urdu
IMnXqYDHhZI,Hram ki kamai begearat log,yes,hate,na,anger,Hram/urdu ki/urdu kamai/urdu begearat/urdu log/urdu
-w7eMfsuRgA,"Sorry bhai alamti nahi
Lannnnnnnnnnnti",yes,hate,na,anger,Sorry/urdu bhai/urdu alamti/urdu nahi/urdu Lannnnnnnnnnnti/urdu
zfjRK9s0pjA,Iqra API AP ko period hota hai,no,offensive,na,none,Iqra/urdu API/urdu AP/urdu ko/urdu period/urdu hota/urdu hai/urdu
N-0DINjOMlY,Azal k liye 100 gift challenge Kara mere kehna pa,no,none,na,joy,Azal/urdu k/urdu liye/urdu 100/urdu gift/urdu challenge/urdu Kara/urdu mere/urdu kehna/urdu pa/urdu
zXAAAXogJ78,Is vilog ka Sab se bara chohara y Zulkarnain ha phr us k y chohre y larke hein,no,offensive,na,anger,Is/urdu vilog/urdu ka/urdu Sab/urdu se/urdu bara/urdu chohara/urdu y/urdu Zulkarnain/urdu ha/urdu phr/urdu us/urdu k/urdu y/urdu chohre/urdu y/urdu larke/urdu hein/urdu
eY0i4nBXqdY,Yadi tyre tha ki bacchon ka khilauna tha itna Halka kaun sa tyre hota hai pagal hai kya tum,yes,none,na,none,Yadi/urdu tyre/urdu tha/urdu ki/urdu bacchon/urdu ka/urdu khilauna/urdu tha/urdu itna/urdu Halka/urdu kaun/urdu sa/urdu tyre/urdu hota/urdu hai/urdu pagal/urdu hai/urdu kya/urdu tum/urdu
BmpRnfu16YA,Appi haya appi ki cat bhi Haya appi ke sath Jaye gi kya❤❤❤❤❤❤,no,none,na,none,Appi/urdu haya/urdu appi/urdu ki/urdu cat/urdu bhi/urdu Haya/urdu appi/urdu ke/urdu sath/urdu Jaye/urdu gi/urdu kya❤❤❤❤❤❤/urdu
BmpRnfu16YA,Both ladly se hai haya ka Bhai nai hai,no,none,na,none,Both/urdu ladly/urdu se/urdu hai/urdu haya/urdu ka/urdu Bhai/urdu nai/urdu hai/urdu
XHQrr9fmTkc,Pink colour ka food challenge Kary 🤌👀🩷,no,none,na,joy|none,Pink/urdu colour/urdu ka/urdu food/urdu challenge/urdu Kary/urdu 🤌👀🩷/urdu
