video_id,comment_text,sarcasm,hate_speech,misinformation,emotion,code_switch_tags
WJxfQWiP9DQ,Sub kindly Dua Kiya krain Imran khan k liey,no,none,na,none,urdu/ambiguous kindly/english Dua/urdu Kiya/urdu krain/urdu Imran/urdu khan/urdu k/urdu liey/urdu
nqbNLe84dpM,Ikra abhi aap aana beta face kyon Nahin dikhati,yes,offensive,na,anger,Ikra/ambiguous abhi/urdu aap/urdu aana/urdu beta/urdu face/english kyon/urdu Nahin/urdu dikhati/urdu
BljaIOvFkcM,ALLAH PAKISTAN 🇵🇰 KI HIFAZAT KRE.AMEEN,no,none,na,joy,ALLAH/urdu PAKISTAN/urdu 🇵🇰/ambiguous KI/urdu HIFAZAT/urdu KRE.AMEEN/urdu
FH8OUP2_sN4,Ducky Bhai we want met with you❤,no,none,na,joy,Ducky/ambiguous Bhai/urdu we/english want/english met/english with/english you/english
XHQrr9fmTkc,Hay Patna Faisal main aapki bahut badi fan hun please blog mein Mera comment pade,no,none,na,joy,Hay/urdu Patna/urdu Faisal/urdu main/urdu aapki/urdu bahut/urdu badi/urdu fan/english hun/urdu please/english blog/english mein/urdu Mera/urdu comment/english pade/urdu
IMnXqYDHhZI,Lekin kanwal aftab mai brand ki shokhi ni hy,no,none,na,none,Lekin/urdu kanwal/urdu aftab/urdu mai/urdu brand/english ki/urdu shokhi/urdu ni/urdu hy/urdu
BaMLBWWvNHA,Bai ma Quetta sa tik kha AP na❤❤❤❤❤❤,no,none,na,joy,Bai/urdu ma/urdu Quetta/urdu sa/urdu tik/urdu kha/urdu AP/english na/urdu
8ksTrbtyTco,Ye pikory he hoty hy ap ghalat hy wo tek bol rahi hy,yes,none,na,anger,Ye/urdu pikory/urdu he/urdu hoty/urdu hy/urdu ap/urdu ghalat/urdu hy/urdu wo/urdu tek/urdu bol/urdu rahi/urdu hy/urdu
HeZ2VBdJeOk,Pakistan nay bee aik super computer bana lia ha jis kee speed 2.5ha wo computer england check karanay Kay liya beja gia ha us ka naam imran Riaz ha😅😅😅,yes,none,misinfo,joy|surprise,Pakistan/ambiguous nay/urdu bee/urdu aik/urdu super/english computer/english bana/urdu lia/urdu ha/urdu jis/urdu kee/urdu speed/english 2.5ha/ambiguous wo/urdu computer/english england/english check/english karanay/urdu Kay/urdu liya/urdu beja/urdu gia/urdu ha/urdu us/urdu ka/urdu naam/urdu imran/english Riaz/english ha/urdu
hhFGhAo4ZfY,Assalamualaikum...Waqas Bhai ye khany ki behurmarti hai plz ye nahi kijiega Kitna niche bhi gira hai,no,offensive,na,anger,Assalamualaikum.../ambiguous Waqas/urdu Bhai/urdu ye/urdu khany/urdu ki/urdu behurmarti/urdu hai/urdu plz/english ye/urdu nahi/urdu kijiega/urdu Kitna/urdu niche/urdu bhi/urdu gira/urdu hai/urdu
IMnXqYDHhZI,Nokar kaise ry sakta kanwal ky hota koi kam karty nahi bhar gomna ly jao Yai zulqarnan ky dost boy's ky sat b bhar jana sy inker nahi karty ....Apne apko larky smjhty hai 50 saal kee dayhan,yes,offensive,na,anger,urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu
N-0DINjOMlY,Azal k liye 100 gift challenge Kara mere kehna pa,no,none,na,joy,Azal/urdu k/urdu liye/urdu 100/english gift/english challenge/english Kara/urdu mere/urdu kehna/urdu pa/urdu
IMnXqYDHhZI,Ap dono apnea ap ko mukmal sahmjne lage ha,no,none,na,none,Ap/urdu dono/urdu apnea/urdu ap/urdu ko/urdu mukmal/urdu sahmjne/urdu lage/urdu ha/urdu
EyrNOfyxSBQ,Hazrat Muhammad swa Allah paak hazrat Muhammad swa k sadqy hamein maaf farmye ameeen,no,none,na,none,Hazrat/urdu Muhammad/ambiguous swa/urdu Allah/urdu paak/urdu hazrat/urdu Muhammad/ambiguous swa/urdu k/urdu sadqy/urdu hamein/urdu maaf/urdu farmye/urdu ameeen/urdu
-w7eMfsuRgA,"ALLAH APSE BOHUT BIG KAAM LE RAHA HAI, TOP JOB.",no,none,na,joy,ALLAH/urdu APSE/urdu BOHUT/urdu BIG/english KAAM/urdu LE/urdu RAHA/urdu HAI/urdu TOP/english JOB/english
BmpRnfu16YA,Matlab Matlab Kyaa Ghar Hai Maza Mashallah Maza Maza Gaya😉,yes,none,na,joy|surprise,Matlab/urdu Matlab/urdu Kyaa/urdu Ghar/urdu Hai/urdu Maza/urdu Mashallah/urdu Maza/urdu Maza/urdu Gaya/urdu
eY0i4nBXqdY,Mashallah 🥹😭🌷.🇸🇦.    Yaar aapko Khush rakhe,no,none,na,joy,urdu/urdu Mashallah/urdu Yaar/urdu aapko/urdu Khush/urdu rakhe/urdu
zfjRK9s0pjA,Are bhai aap bahut acche hain ya Allah aapki beti ko salamat rakhe,no,none,na,joy,Are/urdu bhai/urdu aap/urdu bahut/urdu acche/urdu hain/urdu ya/urdu Allah/ambiguous aapki/urdu beti/urdu ko/urdu salamat/urdu rakhe/urdu
VUKai4CZSNw,"Tu kanjar he ya shareef he Kisi baazaari khandaan Ka Lagta he , kameeney poori vedio me oye hoye oye hoye oye hoye hoye hoye macha rakhi he , saaley suwwar baat to dhang sey Kar kameeney",yes,offensive,na,anger,"Tu/urdu kanjar/urdu he/urdu ya/urdu shareef/urdu he/urdu Kisi/urdu baazaari/urdu khandaan/urdu Ka/urdu Lagta/urdu he/urdu ,/ambiguous kameeney/urdu poori/urdu vedio/urdu me/urdu oye/urdu hoye/urdu oye/urdu hoye/urdu oye/urdu hoye/urdu hoye/urdu hoye/urdu macha/urdu rakhi/urdu he/urdu ,/ambiguous saaley/urdu suwwar/urdu baat/urdu to/urdu dhang/urdu sey/urdu Kar/urdu kameeney/urdu"
BmpRnfu16YA,Fatima apni best friend ka home tour,no,none,na,none,urdu/urdu apni/urdu best/english friend/english ka/urdu home/english tour/english
FH8OUP2_sN4,6 sal sy subscribe Kiya howa hai❤,no,none,na,joy,ambiguous/ambiguous sal/urdu sy/urdu subscribe/english Kiya/urdu howa/urdu hai/urdu
nqbNLe84dpM,AJ ka vlog kab aye ga,no,none,na,none,english/ambiguous urdu/urdu english/english urdu/urdu urdu/urdu urdu/urdu
PKFU1F2QEMQ,Mashallah bht pyara h ap ka ghr❤,no,none,na,joy,Mashallah/urdu bht/urdu pyara/urdu h/urdu ap/urdu ka/urdu ghr/urdu
zfjRK9s0pjA,Allah pack ap ko sahat da,no,none,na,joy,Allah/urdu pack/english ap/urdu ko/urdu sahat/urdu da/urdu
VUKai4CZSNw,Hahaha jedar dekho tum nazar ari ho,yes,none,na,joy,Hahaha/ambiguous jedar/urdu dekho/urdu tum/urdu nazar/urdu ari/urdu ho/urdu
BaMLBWWvNHA,Tum Sab Laure Ho Gandi Ghalazat Ho Bivi Behnon Ki Nacha K Unki Gaand Seene Dikha K Paise Kamate Ho Aur Safaid Posh Ban Jate Ho Hazar Baar Laanat,no,hate,na,anger,Tum/urdu Sab/urdu Laure/urdu Ho/urdu Gandi/urdu Ghalazat/urdu Ho/urdu Bivi/urdu Behnon/urdu Ki/urdu Nacha/urdu K/urdu Unki/urdu Gaand/urdu Seene/urdu Dikha/urdu K/urdu Paise/urdu Kamate/urdu Ho/urdu Aur/urdu Safaid/urdu Posh/urdu Ban/urdu Jate/urdu Ho/urdu Hazar/urdu Baar/urdu Laanat/urdu
BaMLBWWvNHA,Zulqar nin qasam SI me tujhe janta nhe tha Rajab bahi ki tarf SI jan ne laga tha mere kyal si ap ka fame sirf rajab bahi ki taraf Mila he,no,none,na,anger,Zulqar/ambiguous nin/urdu qasam/urdu SI/ambiguous me/urdu tujhe/urdu janta/urdu nhe/urdu tha/urdu Rajab/ambiguous bahi/urdu ki/urdu tarf/urdu SI/ambiguous jan/urdu ne/urdu laga/urdu tha/urdu mere/urdu kyal/urdu si/urdu ap/urdu ka/urdu fame/english sirf/urdu rajab/ambiguous bahi/urdu ki/urdu taraf/urdu Mila/urdu he/urdu
UiYpRBQ74fs,Sir itni khol khol kr baatay bata rahayho jaise quran batata hy phir b y koum bhair nahi nikalti kia hogaya hy inko kia koi mard ka bacha nahi hy is duniya me afsoos,yes,offensive,na,anger|sadness,Sir/english itni/urdu khol/urdu khol/urdu kr/urdu baatay/urdu bata/urdu rahayho/urdu jaise/urdu quran/urdu batata/urdu hy/urdu phir/urdu b/urdu y/urdu koum/urdu bhair/urdu nahi/urdu nikalti/urdu kia/urdu hogaya/urdu hy/urdu inko/urdu kia/urdu koi/urdu mard/urdu ka/urdu bacha/urdu nahi/urdu hy/urdu is/urdu duniya/urdu me/urdu afsoos/urdu
nqbNLe84dpM,Maza agaya is vlog ko dhek kr,no,none,na,joy,Maza/urdu agaya/urdu is/english vlog/english ko/urdu dhek/urdu kr/urdu
gvG35CxYOLg,Aap ki shadi Aniqa se honi chahiye thi Aniqa aap se love krti hai mera dil kehta hai aap k sare vlogs daikh kr keh raha hun main 🥺,no,none,na,sadness,Aap/urdu ki/urdu shadi/urdu Aniqa/ambiguous se/urdu honi/urdu chahiye/urdu thi/urdu Aniqa/ambiguous aap/urdu se/urdu love/english krti/urdu hai/urdu mera/urdu dil/urdu kehta/urdu hai/urdu aap/urdu k/urdu sare/urdu vlogs/english daikh/urdu kr/urdu keh/urdu raha/urdu hun/urdu main/urdu 🥺/ambiguous
BljaIOvFkcM,"Hum kashmiri apni families say dour hain, na internet chall raha ha aur   ab sim  network b band ker diya ha, , imran bahi apki news ka wait hota ha taky kashmir ki koi update mill saky",no,none,na,sadness|fear,Hum/urdu kashmiri/urdu apni/urdu families/english say/urdu dour/urdu hain/urdu na/urdu internet/english chall/urdu raha/urdu ha/urdu aur/urdu ab/urdu sim/english network/english b/urdu band/urdu ker/urdu diya/urdu ha/urdu imran/urdu bahi/urdu apki/urdu news/english ka/urdu wait/english hota/urdu ha/urdu taky/urdu kashmir/urdu ki/urdu koi/urdu update/english mill/urdu saky/urdu
zfjRK9s0pjA,Areeb Bhai iqra API ma kaya hal hai,no,none,na,none,Areeb/urdu Bhai/urdu iqra/urdu API/english ma/urdu kaya/urdu hal/urdu hai/urdu
Erif7Vj9NSQ,Fatima api aap ki cast kya hai 😁,no,hate,na,none,Fatima/ambiguous api/urdu aap/urdu ki/urdu cast/english kya/urdu hai/urdu 😁/ambiguous
gvG35CxYOLg,Mujy abhi pta chala k comant oy 2 bar tap krny Sy like hota hy😮,no,none,na,surprise,Mujy/urdu abhi/urdu pta/urdu chala/urdu k/urdu comant/english oy/urdu 2/ambiguous bar/urdu tap/urdu krny/urdu Sy/urdu like/english hota/urdu hy/urdu
BmpRnfu16YA,fatima hira or iqra ki dost ka home tour,no,none,na,none,fatima/ambiguous hira/ambiguous or/english iqra/ambiguous ki/urdu dost/urdu ka/urdu home/english tour/english
N-0DINjOMlY,Ami Abu Ke liye bhi Kuch lee Atae,no,none,na,joy,Ami/urdu Abu/urdu Ke/urdu liye/urdu bhi/urdu Kuch/urdu lee/urdu Atae/urdu
XHQrr9fmTkc,Fatima api app jalley bana k thra sa thanda kara par wo thora pani jassa h or wo juice ke bottle may dal ka prank,yes,none,na,joy|surprise,Fatima/urdu api/urdu app/english jalley/urdu bana/urdu k/urdu thra/urdu sa/urdu thanda/urdu kara/urdu par/urdu wo/urdu thora/urdu pani/urdu jassa/urdu h/urdu or/urdu wo/urdu juice/english ke/urdu bottle/english may/urdu dal/urdu ka/urdu prank/english
EyrNOfyxSBQ,Ye buht ache vidio Hy ly mujhy bhi Rona araha hy😢🥺,no,none,na,sadness|joy,Ye/urdu buht/urdu ache/urdu vidio/urdu Hy/urdu ly/urdu mujhy/urdu bhi/urdu Rona/urdu araha/urdu hy/urdu
FH8OUP2_sN4,Bhout acha trip rha ap logon ka .bhout piyari hamari bhan h Aroob.or dacky Bhai ki kiya bat h .hamesha khus rhao ..❤❤❤❤,no,none,na,joy,Bhout/urdu acha/urdu trip/english rha/urdu ap/urdu logon/urdu ka/urdu .bhout/urdu piyari/urdu hamari/urdu bhan/urdu h/urdu Aroob.or/ambiguous dacky/urdu Bhai/urdu ki/urdu kiya/urdu bat/urdu h/urdu .hamesha/urdu khus/urdu rhao/urdu ..❤❤❤❤/ambiguous
zfjRK9s0pjA,Kabhi bhi paida ho Gaya❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,no,none,na,joy,Kabhi/urdu bhi/urdu paida/urdu ho/urdu Gaya/urdu
VUKai4CZSNw,Bhi usman se milo japan,no,none,na,none,Bhi/urdu usman/ambiguous se/urdu milo/urdu japan/english
zfjRK9s0pjA,Baba banne wale abhi to baba banne a rahe hain,yes,none,na,joy,Baba/urdu banne/urdu wale/urdu abhi/urdu to/urdu baba/urdu banne/urdu a/urdu rahe/urdu hain/urdu
hhFGhAo4ZfY,Bacho ko na laya karo,no,none,na,anger,Bacho/urdu ko/urdu na/urdu laya/urdu karo/urdu
VUKai4CZSNw,Krdiya subscribe tu Khush rah bhalu,yes,none,na,joy,Krdiya/urdu subscribe/english tu/urdu Khush/urdu rah/urdu bhalu/urdu
zfjRK9s0pjA,I can understand this situation Arwen bhai,no,none,na,none,I/english can/english understand/english this/english situation/english Arwen/ambiguous bhai/urdu
-w7eMfsuRgA,"Tmam tar gernaleee  tout journalist ko Akela Akela pakry aur unko Andy tmatar Mary, tab ye insan k bachy bnengy ....",yes,offensive,na,anger,urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/ambiguous urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu
eY0i4nBXqdY,Inshallah mashallah subhanallah bahut Purana hai❤😊,no,none,na,joy,urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu urdu/urdu
BljaIOvFkcM,Imran Bhai app ki video direct play nh ho rai downland kr ka phr dakhna pad Rai ha,no,none,na,none,Imran/ambiguous Bhai/urdu app/english ki/urdu video/english direct/english play/english nh/urdu ho/urdu rai/urdu downland/english kr/urdu ka/urdu phr/urdu dakhna/urdu pad/urdu Rai/urdu ha/urdu
BmpRnfu16YA,Please API Fatima apnay gher ka home tour kervaday,no,none,na,none,Please/english API/english Fatima/ambiguous apnay/urdu gher/urdu ka/urdu home/english tour/english kervaday/urdu
8ksTrbtyTco,Its like watching master chef India 😅. Nice content shahveer bhai👍,yes,none,na,joy|surprise,Its/english like/english watching/english master/english chef/english India/english 😅./ambiguous Nice/english content/english shahveer/urdu bhai👍/urdu
hhFGhAo4ZfY,"❤Nex
T video fast  food
food ki ho",no,none,na,joy,ambiguous/ambiguous T/english video/english fast/english food/english food/english ki/urdu ho/urdu
BaMLBWWvNHA,First of all aapka koi Haq nahi banta kisike baare me bura bhala kehne ki pehle khud ke andar jhaako ke aap kese ho uske baad dusro ko bola karo,no,offensive,na,anger,First/english of/english all/english aapka/urdu koi/urdu Haq/urdu nahi/urdu banta/urdu kisike/urdu baare/urdu me/urdu bura/urdu bhala/urdu kehne/urdu ki/urdu pehle/urdu khud/urdu ke/urdu andar/urdu jhaako/urdu ke/urdu aap/urdu kese/urdu ho/urdu uske/urdu baad/urdu dusro/urdu ko/urdu bola/urdu karo/urdu
